account_id,entry_id,transfer_id,customer_id,entry_type,amount,balance_after,counterparty_customer_id,counterparty_account_id
710000002,720000001,730000001,700000001,CREDIT,200.00,200.00,,
710000002,720000002,730000002,700000001,CREDIT,200.00,400.00,,
710000002,720000003,730000003,700000001,CREDIT,200.00,600.00,,
710000002,720000004,730000004,700000001,CREDIT,200.00,800.00,,
710000002,720000005,730000005,700000001,CREDIT,200.00,1000.00,,
710000001,720000006,730000006,700000001,CREDIT,400.00,400.00,,
710000001,720000007,730000007,700000001,CREDIT,400.00,800.00,,
710000001,720000008,730000008,700000001,CREDIT,400.00,1200.00,,
710000001,720000009,730000009,700000001,CREDIT,400.00,1600.00,,
710000001,720000010,730000010,700000001,CREDIT,400.00,2000.00,,
710000004,720000011,730000011,700000002,CREDIT,200.00,200.00,,
710000004,720000012,730000012,700000002,CREDIT,200.00,400.00,,
710000004,720000013,730000013,700000002,CREDIT,200.00,600.00,,
710000004,720000014,730000014,700000002,CREDIT,200.00,800.00,,
710000004,720000015,730000015,700000002,CREDIT,200.00,1000.00,,
710000003,720000016,730000016,700000002,CREDIT,400.00,400.00,,
710000003,720000017,730000017,700000002,CREDIT,400.00,800.00,,
710000003,720000018,730000018,700000002,CREDIT,400.00,1200.00,,
710000003,720000019,730000019,700000002,CREDIT,400.00,1600.00,,
710000003,720000020,730000020,700000002,CREDIT,400.00,2000.00,,
710000005,720000021,730000021,700000003,CREDIT,200.00,200.00,,
710000005,720000022,730000022,700000003,CREDIT,200.00,400.00,,
710000005,720000023,730000023,700000003,CREDIT,200.00,600.00,,
710000005,720000024,730000024,700000003,CREDIT,200.00,800.00,,
710000005,720000025,730000025,700000003,CREDIT,200.00,1000.00,,
710000006,720000026,730000026,700000003,CREDIT,400.00,400.00,,
710000006,720000027,730000027,700000003,CREDIT,400.00,800.00,,
710000006,720000028,730000028,700000003,CREDIT,400.00,1200.00,,
710000006,720000029,730000029,700000003,CREDIT,400.00,1600.00,,
710000006,720000030,730000030,700000003,CREDIT,400.00,2000.00,,
710000007,720000031,730000031,700000005,CREDIT,200.00,200.00,,
710000007,720000032,730000032,700000005,CREDIT,200.00,400.00,,
710000007,720000033,730000033,700000005,CREDIT,200.00,600.00,,
710000007,720000034,730000034,700000005,CREDIT,200.00,800.00,,
710000007,720000035,730000035,700000005,CREDIT,200.00,1000.00,,
710000009,720000036,730000036,700000005,CREDIT,400.00,400.00,,
710000009,720000037,730000037,700000005,CREDIT,400.00,800.00,,
710000009,720000038,730000038,700000005,CREDIT,400.00,1200.00,,
710000009,720000039,730000039,700000005,CREDIT,400.00,1600.00,,
710000009,720000040,730000040,700000005,CREDIT,400.00,2000.00,,
710000010,720000041,730000041,700000007,CREDIT,200.00,200.00,,
710000010,720000042,730000042,700000007,CREDIT,200.00,400.00,,
710000010,720000043,730000043,700000007,CREDIT,200.00,600.00,,
710000010,720000044,730000044,700000007,CREDIT,200.00,800.00,,
710000010,720000045,730000045,700000007,CREDIT,200.00,1000.00,,
710000008,720000046,730000046,700000007,CREDIT,400.00,400.00,,
710000008,720000047,730000047,700000007,CREDIT,400.00,800.00,,
710000008,720000048,730000048,700000007,CREDIT,400.00,1200.00,,
710000008,720000049,730000049,700000007,CREDIT,400.00,1600.00,,
710000008,720000050,730000050,700000007,CREDIT,400.00,2000.00,,
